id,name,degree,detail,image,hoverImage,profileUrl
25,Add business-operations member 14,Add degree and year,Add a short introduction,/images/team/default.svg,/images/team/hover.svg,https://www.linkedin.com/
26,Add business-operations member 15,Add degree and year,Add a short introduction,/images/team/default.svg,/images/team/hover.svg,https://www.linkedin.com/
27,Add business-operations member 16,Add degree and year,Add a short introduction,/images/team/default.svg,/images/team/hover.svg,https://www.linkedin.com/
28,Add business-operations member 17,Add degree and year,Add a short introduction,/images/team/default.svg,/images/team/hover.svg,https://www.linkedin.com/
29,Add business-operations member 18,Add degree and year,Add a short introduction,/images/team/default.svg,/images/team/hover.svg,https://www.linkedin.com/
30,Add business-operations member 19,Add degree and year,Add a short introduction,/images/team/default.svg,/images/team/hover.svg,https://www.linkedin.com/
31,Add business-operations member 20,Add degree and year,Add a short introduction,/images/team/default.svg,/images/team/hover.svg,https://www.linkedin.com/
32,Add mechanical member 01,Add degree and year,Add a short introduction,/images/team/default.svg,/images/team/hover.svg,https://www.linkedin.com/
33,Add mechanical member 02,Add degree and year,Add a short introduction,/images/team/default.svg,/images/team/hover.svg,https://www.linkedin.com/
34,Add mechanical member 03,Add degree and year,Add a short introduction,/images/team/default.svg,/images/team/hover.svg,https://www.linkedin.com/
35,Add mechanical member 04,Add degree and year,Add a short introduction,/images/team/default.svg,/images/team/hover.svg,https://www.linkedin.com/
36,Add mechanical member 05,Add degree and year,Add a short introduction,/images/team/default.svg,/images/team/hover.svg,https://www.linkedin.com/
37,Add mechanical member 06,Add degree and year,Add a short introduction,/images/team/default.svg,/images/team/hover.svg,https://www.linkedin.com/
38,Add mechanical member 07,Add degree and year,Add a short introduction,/images/team/default.svg,/images/team/hover.svg,https://www.linkedin.com/
39,Add mechanical member 08,Add degree and year,Add a short introduction,/images/team/default.svg,/images/team/hover.svg,https://www.linkedin.com/
40,Add mechanical member 09,Add degree and year,Add a short introduction,/images/team/default.svg,/images/team/hover.svg,https://www.linkedin.com/
41,Add mechanical member 10,Add degree and year,Add a short introduction,/images/team/default.svg,/images/team/hover.svg,https://www.linkedin.com/
42,Add mechanical member 11,Add degree and year,Add a short introduction,/images/team/default.svg,/images/team/hover.svg,https://www.linkedin.com/
43,Add mechanical member 12,Add degree and year,Add a short introduction,/images/team/default.svg,/images/team/hover.svg,https://www.linkedin.com/
44,Add mechanical member 13,Add degree and year,Add a short introduction,/images/team/default.svg,/images/team/hover.svg,https://www.linkedin.com/
45,Add mechanical member 14,Add degree and year,Add a short introduction,/images/team/default.svg,/images/team/hover.svg,https://www.linkedin.com/
46,Add mechanical member 15,Add degree and year,Add a short introduction,/images/team/default.svg,/images/team/hover.svg,https://www.linkedin.com/
47,Add mechanical member 16,Add degree and year,Add a short introduction,/images/team/default.svg,/images/team/hover.svg,https://www.linkedin.com/
48,Add mechanical member 17,Add degree and year,Add a short introduction,/images/team/default.svg,/images/team/hover.svg,https://www.linkedin.com/
49,Add mechanical member 18,Add degree and year,Add a short introduction,/images/team/default.svg,/images/team/hover.svg,https://www.linkedin.com/
50,Add mechanical member 19,Add degree and year,Add a short introduction,/images/team/default.svg,/images/team/hover.svg,https://www.linkedin.com/
51,Add mechanical member 20,Add degree and year,Add a short introduction,/images/team/default.svg,/images/team/hover.svg,https://www.linkedin.com/
52,Add electrical-and-embedded member 01,Add degree and year,Add a short introduction,/images/team/default.svg,/images/team/hover.svg,https://www.linkedin.com/
53,Add electrical-and-embedded member 02,Add degree and year,Add a short introduction,/images/team/default.svg,/images/team/hover.svg,https://www.linkedin.com/
54,Add electrical-and-embedded member 03,Add degree and year,Add a short introduction,/images/team/default.svg,/images/team/hover.svg,https://www.linkedin.com/
55,Add electrical-and-embedded member 04,Add degree and year,Add a short introduction,/images/team/default.svg,/images/team/hover.svg,https://www.linkedin.com/
56,Add electrical-and-embedded member 05,Add degree and year,Add a short introduction,/images/team/default.svg,/images/team/hover.svg,https://www.linkedin.com/
57,Add electrical-and-embedded member 06,Add degree and year,Add a short introduction,/images/team/default.svg,/images/team/hover.svg,https://www.linkedin.com/
58,Add electrical-and-embedded member 07,Add degree and year,Add a short introduction,/images/team/default.svg,/images/team/hover.svg,https://www.linkedin.com/
59,Add electrical-and-embedded member 08,Add degree and year,Add a short introduction,/images/team/default.svg,/images/team/hover.svg,https://www.linkedin.com/
60,Add electrical-and-embedded member 09,Add degree and year,Add a short introduction,/images/team/default.svg,/images/team/hover.svg,https://www.linkedin.com/
61,Add electrical-and-embedded member 10,Add degree and year,Add a short introduction,/images/team/default.svg,/images/team/hover.svg,https://www.linkedin.com/
62,Add electrical-and-embedded member 11,Add degree and year,Add a short introduction,/images/team/default.svg,/images/team/hover.svg,https://www.linkedin.com/
63,Add electrical-and-embedded member 12,Add degree and year,Add a short introduction,/images/team/default.svg,/images/team/hover.svg,https://www.linkedin.com/
64,Add electrical-and-embedded member 13,Add degree and year,Add a short introduction,/images/team/default.svg,/images/team/hover.svg,https://www.linkedin.com/
65,Add electrical-and-embedded member 14,Add degree and year,Add a short introduction,/images/team/default.svg,/images/team/hover.svg,https://www.linkedin.com/
66,Add electrical-and-embedded member 15,Add degree and year,Add a short introduction,/images/team/default.svg,/images/team/hover.svg,https://www.linkedin.com/
67,Add electrical-and-embedded member 16,Add degree and year,Add a short introduction,/images/team/default.svg,/images/team/hover.svg,https://www.linkedin.com/
68,Add electrical-and-embedded member 17,Add degree and year,Add a short introduction,/images/team/default.svg,/images/team/hover.svg,https://www.linkedin.com/
69,Add electrical-and-embedded member 18,Add degree and year,Add a short introduction,/images/team/default.svg,/images/team/hover.svg,https://www.linkedin.com/
70,Add electrical-and-embedded member 19,Add degree and year,Add a short introduction,/images/team/default.svg,/images/team/hover.svg,https://www.linkedin.com/
71,Add electrical-and-embedded member 20,Add degree and year,Add a short introduction,/images/team/default.svg,/images/team/hover.svg,https://www.linkedin.com/
72,Add robotics-software member 01,Add degree and year,Add a short introduction,/images/team/default.svg,/images/team/hover.svg,https://www.linkedin.com/
73,Add robotics-software member 02,Add degree and year,Add a short introduction,/images/team/default.svg,/images/team/hover.svg,https://www.linkedin.com/
74,Add robotics-software member 03,Add degree and year,Add a short introduction,/images/team/default.svg,/images/team/hover.svg,https://www.linkedin.com/
75,Add robotics-software member 04,Add degree and year,Add a short introduction,/images/team/default.svg,/images/team/hover.svg,https://www.linkedin.com/
76,Add robotics-software member 05,Add degree and year,Add a short introduction,/images/team/default.svg,/images/team/hover.svg,https://www.linkedin.com/
77,Add robotics-software member 06,Add degree and year,Add a short introduction,/images/team/default.svg,/images/team/hover.svg,https://www.linkedin.com/
78,Add robotics-software member 07,Add degree and year,Add a short introduction,/images/team/default.svg,/images/team/hover.svg,https://www.linkedin.com/
79,Add robotics-software member 08,Add degree and year,Add a short introduction,/images/team/default.svg,/images/team/hover.svg,https://www.linkedin.com/
80,Add robotics-software member 09,Add degree and year,Add a short introduction,/images/team/default.svg,/images/team/hover.svg,https://www.linkedin.com/
81,Add robotics-software member 10,Add degree and year,Add a short introduction,/images/team/default.svg,/images/team/hover.svg,https://www.linkedin.com/
82,Add robotics-software member 11,Add degree and year,Add a short introduction,/images/team/default.svg,/images/team/hover.svg,https://www.linkedin.com/
83,Add robotics-software member 12,Add degree and year,Add a short introduction,/images/team/default.svg,/images/team/hover.svg,https://www.linkedin.com/
84,Add robotics-software member 13,Add degree and year,Add a short introduction,/images/team/default.svg,/images/team/hover.svg,https://www.linkedin.com/
85,Add robotics-software member 14,Add degree and year,Add a short introduction,/images/team/default.svg,/images/team/hover.svg,https://www.linkedin.com/
86,Add robotics-software member 15,Add degree and year,Add a short introduction,/images/team/default.svg,/images/team/hover.svg,https://www.linkedin.com/
87,Add robotics-software member 16,Add degree and year,Add a short introduction,/images/team/default.svg,/images/team/hover.svg,https://www.linkedin.com/
88,Add robotics-software member 17,Add degree and year,Add a short introduction,/images/team/default.svg,/images/team/hover.svg,https://www.linkedin.com/
89,Add robotics-software member 18,Add degree and year,Add a short introduction,/images/team/default.svg,/images/team/hover.svg,https://www.linkedin.com/
90,Add robotics-software member 19,Add degree and year,Add a short introduction,/images/team/default.svg,/images/team/hover.svg,https://www.linkedin.com/
91,Add robotics-software member 20,Add degree and year,Add a short introduction,/images/team/default.svg,/images/team/hover.svg,https://www.linkedin.com/
92,Add digital-software member 01,Add degree and year,Add a short introduction,/images/team/default.svg,/images/team/hover.svg,https://www.linkedin.com/
93,Add digital-software member 02,Add degree and year,Add a short introduction,/images/team/default.svg,/images/team/hover.svg,https://www.linkedin.com/
94,Add digital-software member 03,Add degree and year,Add a short introduction,/images/team/default.svg,/images/team/hover.svg,https://www.linkedin.com/
95,Add digital-software member 04,Add degree and year,Add a short introduction,/images/team/default.svg,/images/team/hover.svg,https://www.linkedin.com/
96,Add digital-software member 05,Add degree and year,Add a short introduction,/images/team/default.svg,/images/team/hover.svg,https://www.linkedin.com/
97,Add digital-software member 06,Add degree and year,Add a short introduction,/images/team/default.svg,/images/team/hover.svg,https://www.linkedin.com/
98,Add digital-software member 07,Add degree and year,Add a short introduction,/images/team/default.svg,/images/team/hover.svg,https://www.linkedin.com/
99,Add digital-software member 08,Add degree and year,Add a short introduction,/images/team/default.svg,/images/team/hover.svg,https://www.linkedin.com/
100,Add digital-software member 09,Add degree and year,Add a short introduction,/images/team/default.svg,/images/team/hover.svg,https://www.linkedin.com/
101,Add digital-software member 10,Add degree and year,Add a short introduction,/images/team/default.svg,/images/team/hover.svg,https://www.linkedin.com/
102,Add digital-software member 11,Add degree and year,Add a short introduction,/images/team/default.svg,/images/team/hover.svg,https://www.linkedin.com/
103,Add digital-software member 12,Add degree and year,Add a short introduction,/images/team/default.svg,/images/team/hover.svg,https://www.linkedin.com/
104,Add digital-software member 13,Add degree and year,Add a short introduction,/images/team/default.svg,/images/team/hover.svg,https://www.linkedin.com/
105,Add digital-software member 14,Add degree and year,Add a short introduction,/images/team/default.svg,/images/team/hover.svg,https://www.linkedin.com/
106,Add digital-software member 15,Add degree and year,Add a short introduction,/images/team/default.svg,/images/team/hover.svg,https://www.linkedin.com/
107,Add digital-software member 16,Add degree and year,Add a short introduction,/images/team/default.svg,/images/team/hover.svg,https://www.linkedin.com/
108,Add digital-software member 17,Add degree and year,Add a short introduction,/images/team/default.svg,/images/team/hover.svg,https://www.linkedin.com/
109,Add digital-software member 18,Add degree and year,Add a short introduction,/images/team/default.svg,/images/team/hover.svg,https://www.linkedin.com/
110,Add digital-software member 19,Add degree and year,Add a short introduction,/images/team/default.svg,/images/team/hover.svg,https://www.linkedin.com/
111,Add digital-software member 20,Add degree and year,Add a short introduction,/images/team/default.svg,/images/team/hover.svg,https://www.linkedin.com/
